country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)","GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Unemployment (% of labour force),Labour force participation (female/male pop. %),Urban population (% of total population),"Fertility rate, total (live births per woman)",Average life expectancy at birth,"Population age distribution (0-14 / 60+ years, %)",Infant mortality rate (per 1000 live births,CO2 emission estimates (million tons/tons per capita)
El Salvador,CentralAmerica,21041,6378,307.8,88.5,2.5,4219.4,10.8,25.8,63.3,6.4,49.5/79.5,66.7,2.2,72.5,27.4/11.6,17,86
Equatorial Guinea,MiddleAfrica,28052,1268,45.2,124,-7.4,16344.1,1.2,73.1,25.7,7.7,71.5/91.8,39.9,5,56.95,37.2/4.4,70,841
Eritrea,EasternAfrica,117600,5069,50.2,100.4,4.8,914.9,17.2,23.5,59.3,7.3,77.8/90.1,22.6,4.4,63.5,41.8/5.3,45,27
Estonia,NorthernEurope,45227,1310,30.9,88.2,1.4,17112,3.4,27.4,69.2,7.2,55.4/69.4,67.5,1.6,76.5,16.4/25.9,3.2,242
Ethiopia,EasternAfrica,1104300,104957,105,99.7,9.6,602.8,40.5,16,43.5,5.7,77.1/89.1,19.5,4.6,63.7,40.6/5.3,45.8,1308
Fiji,Melanesia,18272,906,49.6,103.1,3.6,4921.9,11.3,18.1,70.7,7.7,37.0/71.2,53.7,2.6,69.9,28.5/9.9,16,8
Finland,NorthernEurope,338440,5523,18.2,97.2,0.2,42148.1,2.5,26.8,70.6,8.9,54.5/61.7,84.2,1.8,80.7,16.4/27.8,2.3,757
France,WesternEurope,551500,64980,118.7,96.7,1.3,36304.2,1.7,19.5,78.8,9.8,50.3/59.4,79.5,2,81.9,18.1/25.7,3.4,5694
French Polynesia,Polynesia,4000,283,77.3,103.7,1.6,18161,2.8,11.9,85.2,17,46.4/63.0,55.9,2.1,76.3,23.3/11.9,6.9,1
Gabon,MiddleAfrica,267668,2025,7.9,105.6,3.9,7960.7,3.8,54.5,41.7,18.1,40.7/58.3,87.2,4,64.45,35.9/6.4,40.8,559
Gambia,WesternAfrica,11295,2101,207.6,98,4.7,473.2,21.1,14.9,64,29.7,72.2/82.6,59.6,5.6,60.35,45.3/3.8,49.8,7
Georgia,WesternAsia,69700,3912,56.3,91.4,2.8,3491.4,9,24.1,66.9,11.4,57.9/79.0,53.6,2,72.75,19.2/20.8,11.2,61
Germany,WesternEurope,357376,82114,235.6,97,1.7,41686.2,0.6,30.5,68.9,4.2,54.5/66.1,75.3,1.4,80.4,13.1/28.0,3.4,5004
Ghana,WesternAfrica,238537,28834,126.7,99.3,3.9,1355.6,19,26.9,54.1,5.9,75.7/78.8,54,4.2,61.65,38.5/5.3,46.5,410
Greece,SouthernEurope,131957,11160,86.6,96.9,-0.2,17788,4.1,15.7,80.2,23,44.1/60.1,78,1.3,80.65,14.2/26.5,3.3,368
Greenland,NorthernAmerica,2166086,56,0.1,112.1,0.3,36976.7,10,15.9,74.1,9.7,-99,86.4,2,71.05,21.0/13.2,-99,2
Grenada,Caribbean,345,108,317.1,100.9,6.2,8933.8,8.3,13.9,77.8,-99,-99,35.6,2.2,73.2,26.3/10.5,9.6,0
Guatemala,CentralAmerica,108889,16914,157.8,96.9,4.1,3903.5,10.8,27.2,62,2.4,41.7/84.0,51.6,3.2,72.4,35.1/6.9,26.9,327
Guinea-Bissau,WesternAfrica,36125,1861,66.2,96.9,4.8,530,45,14.5,40.5,6.5,67.4/78.5,49.3,4.9,56,41.5/4.9,80.4,25
Guinea,WesternAfrica,245857,12717,51.8,100.6,0.1,703.9,19.8,32.8,47.4,6.8,79.4/85.1,37.2,5.1,57.9,42.3/5.2,65.7,113
Guyana,SouthAmerica,214969,778,4,101.9,3.1,4278.8,17.6,31.7,50.6,11.3,41.9/77.0,28.6,2.6,66.3,29.0/8.6,33.2,7
Haiti,Caribbean,27750,10981,398.4,97.8,1.7,793.7,16.7,38.2,45.1,12.9,62.0/71.7,58.6,3.1,62.3,33.0/7.3,46.9,136
Honduras,CentralAmerica,112492,9265,82.8,99.4,3.6,2521.9,13,25.1,61.9,5.6,47.6/84.5,54.7,2.6,72.9,31.6/7.0,27.8,105
Hungary,EasternEurope,93024,9722,107.4,90.7,3.1,12350.6,4.1,31.9,64,4.5,46.6/62.4,71.2,1.3,75.25,14.3/26.0,4.9,423
Iceland,NorthernEurope,103000,335,3.3,100.7,4.2,50936,6.4,24,69.7,3.6,70.3/77.2,94.1,2,82.2,20.1/20.1,1.6,284
India,SouthernAsia,3287263,1339180,450.4,107.6,7.6,1614.2,17,29.7,53.2,3.4,27.0/79.1,32.7,2.4,67.65,27.8/9.4,41.3,23103
